customer_id,name,email,phone,date_of_birth,account_open_date,location,occupation
1,Allison Hill,donaldgarcia@example.net,Phone Unknown,1991-08-07,2019-03-16,New Roberttown,Chief Financial Officer
2,Lance Hoffman,lrobinson@example.com,Phone Unknown,1954-12-05,2018-02-17,Lake Roberto,Health Physicist
3,Phillip Garcia,wdavis@example.net,(381) 618-4959,2025-07-18,2019-06-12,Port Keith,Cartographer
4,Jamie Chavez,Email Unknown,(853) 419-2832,1972-11-08,2019-05-20,Lake Mark,Banker
5,Renee Morales,clarksherri@example.net,(724) 238-8496,1969-05-30,2017-05-08,New Trevor,Art Gallery Manager
6,Christopher Becker,Email Unknown,(769) 784-8018,1962-01-28,2019-12-19,Ryanmouth,"Accountant, Chartered Certified"
7,Pamela Romero,harrellkenneth@example.net,(528) 809-5701,1970-10-12,2023-10-02,East Natalieland,Chartered Certified Accountant
8,Vanessa Patel,davidalvarez@example.net,(848) 796-3834,1984-04-19,2021-03-27,Martinezbury,Bonds Trader
9,Julian Chapman,jonescrystal@example.org,(405) 918-3473,1971-01-08,2017-02-18,Aguirreborough,Chief Marketing Officer
10,Heather Jenkins,nuneztracey@example.org,(465) 813-3387,1966-12-21,2024-11-05,Stevenland,Probation Officer
11,Matthew Fernandez,novaksara@example.org,(267) 873-6026,1972-07-13,2018-02-12,Mitchellside,"Radiographer, Therapeutic"
12,Daniel Brown,Email Unknown,(500) 978-8208,1959-02-24,2025-03-05,Lake Michellefurt,Communications Engineer
13,Kristopher Harvey,ksandoval@example.net,(346) 247-5107,1991-01-26,2016-08-27,New Joseph,Magazine Journalist
14,Jaclyn Moore,cheryl80@example.net,(641) 624-1182,1995-08-24,2024-01-31,Lake Matthew,"Geneticist, Molecular"
15,Taylor Mathis Jr.,ccalderon@example.org,(786) 801-1280,1983-09-25,2021-07-28,North Kyle,Archaeologist
16,David Garcia,vdickson@example.org,(622) 460-2563,2002-03-17,2018-11-18,South Monicafort,Environmental Education Officer
17,Julia Torres,Email Unknown,(730) 836-5414,2000-09-22,2018-07-10,Sheilaville,Games Developer
18,Victoria Johnson,yreed@example.com,(693) 406-0883,1959-04-01,2024-02-11,Cindyville,Hydrologist
19,Jason Powell,angela36@example.net,(946) 804-4369,1984-07-19,2018-05-16,Lowehaven,Public Librarian
